athlete_id,athlete_uid,anon_id,playing_level
ATHLETE_0277,e0dcb5e4-9892-4ad3-87fd-865595802eb2,P-D064308A,College
ATHLETE_0278,0dc08264-a182-4c65-a0e3-087e816e8788,P-48550D23,College
ATHLETE_0279,5a0a408f-c72b-4241-9ceb-3de92a8fc088,P-BDF3B8B0,College
ATHLETE_0280,65159f50-c0e4-4a12-aa1f-e02c2d660165,P-FCF181BF,College
ATHLETE_0281,7d765fee-8b49-4ffe-82f8-cc6c9f52f5b3,P-3EAA6A9F,College
ATHLETE_0282,a2561b4d-c6ea-40a6-a745-9e74699a6741,P-6CE26BD0,College
ATHLETE_0283,08010324-f76f-405e-bf7b-5e2c2068acb3,P-A937604F,College
ATHLETE_0284,75593d78-df3e-40d0-b531-e1f5127850a5,P-0BB1FCD7,College
ATHLETE_0285,7ada7685-09e5-47c2-8b3f-f8f3ac89400a,P-AD45A555,College
ATHLETE_0286,7d93c6f3-2867-439c-8b29-60f59b0c1ee5,P-2FF34FDC,College
ATHLETE_0287,c30e2a5a-3ccf-41cc-930a-5169e5c75563,P-0B69FB0D,College
ATHLETE_0288,c6101100-edd3-4c79-b307-0683df454c1b,P-5FB6223F,College
ATHLETE_0289,d8eb1ea8-9b67-4a4d-9298-83755cb436e9,P-7DCD9914,College
ATHLETE_0290,f79944ff-a4b6-47eb-9a57-53d119893f21,P-91BB2BEB,College
